0.337 	7.97 	0.506 	0.3461 	0.1995 	0.0233 	0.0177
0.449 	10.49 	0.496 	0.4490 	0.4343 	0.0352 	0.0270

*---- deuteron target ----
x 	Q2i/GeV2 z 	Ah+ 1,d stat. 	syst. 	MC 	 
3 20
0.033 	1.21 	0.355 	0.0080 	0.0146 	0.0007 	0.0068 
0.048 	1.44 	0.374 	0.0112 	0.0156 	0.0018 	0.0077 	 
0.065 	1.73 	0.384 	0.0484 	0.0162 	0.0028 	0.0085 	 
0.087 	2.07 	0.391 	0.0754 	0.0185 	0.0043 	0.0101 	 
0.118 	2.60 	0.394 	0.0350 	0.0179 	0.0038 	0.0094 	 
0.166 	3.56 	0.392 	0.1326 	0.0194 	0.0087 	0.0087 	 
0.238 	5.04 	0.388 	0.1469 	0.0237 	0.0104 	0.0081 	 
0.338 	7.12 	0.382 	0.2372 	0.0504 	0.0151 	0.0115 	 
0.446 	9.61 	0.380 	0.1901 	0.0995 	0.0149 	0.0147 	 

x 	Q2i/GeV2 z 	Ah- 1,d stat. 	syst. 	MC 	 
3 21
0.033 	1.21 	0.355  -0.0125 	0.0162 	0.0013 	0.0071 	 
0.048 	1.44 	0.374 	0.0074 	0.0174 	0.0014 	0.0084 	 
0.065 	1.73 	0.384 	0.0380 	0.0185 	0.0022 	0.0095 	 
0.087 	2.07 	0.391 	0.0179 	0.0212 	0.0033 	0.0113 	 
0.118 	2.60 	0.394 	0.0739 	0.0213 	0.0040 	0.0108 	 
0.166 	3.56 	0.392 	0.0775 	0.0245 	0.0065 	0.0106 	 
0.238 	5.04 	0.388 	0.1712 	0.0315 	0.0103 	0.0107 	 
0.338 	7.12 	0.382 	0.3001 	0.0700 	0.0175 	0.0168 	 
0.446 	9.61 	0.380 	0.1499 	0.1481 	0.0128 	0.0242 	 

x 	Q2/GeV2 zi 	Api+ 1,d stat. 	syst. 	MC 		 
3 30
0.033 	1.22 	0.353  -0.0172 	0.0175 	0.0011 	0.0076 	 
0.047 	1.50 	0.405 	0.0180 	0.0192 	0.0022 	0.0089 	 
0.064 	1.87 	0.437 	0.0130 	0.0201 	0.0016 	0.0095 	 	 
0.087 	2.36 	0.458 	0.0449 	0.0226 	0.0029 	0.0106 	 	 
0.118 	3.07 	0.472 	0.0966 	0.0223 	0.0061 	0.0096 	 	 
0.165 	4.18 	0.479 	0.1207 	0.0257 	0.0079 	0.0093 	 	 
0.238 	5.80 	0.488 	0.1089 	0.0343 	0.0073 	0.0097 	 	 
0.338 	7.93 	0.494 	0.3179 	0.0815 	0.0202 	0.0153 	 	 
0.446 	10.24 	0.503 	0.0856 	0.1695 	0.0115 	0.0215 	 

x 	Q2/GeV2 zi 	Api- 1,d stat. 	syst. 	MC 	 
3 31
0.033 	1.22 	0.353  -0.0113 	0.0183 	0.0014 	0.0078 	 
0.047 	1.50 	0.405  -0.0231 	0.0203 	0.0012 	0.0093 	 
0.064 	1.87 	0.437 	0.0457 	0.0218 	0.0028 	0.0100 	 
0.087 	2.36 	0.458 	0.0056 	0.0245 	0.0020 	0.0110 	 
0.118 	3.07 	0.472 	0.0884 	0.0249 	0.0045 	0.0103 	 
0.165 	4.18 	0.479 	0.0144 	0.0298 	0.0035 	0.0105 	 
0.238 	5.80 	0.488 	0.2039 	0.0413 	0.0116 	0.0111 	 
0.338 	7.93 	0.494 	0.3860 	0.0988 	0.0209 	0.0186 	 
0.446 	10.24 	0.503  -0.1323 	0.2159 	0.0182 	0.0282 	 

x 	hQ2i/GeV2 z 	AK+ 1,d stat. 	syst. 	MC 		 
3 40
0.033 	1.22 	0.383 	0.0048 	0.0479 	0.0022 	0.0202 	 
0.048 	1.50 	0.424 	0.0171 	0.0496 	0.0043 	0.0232	 	 
0.065 	1.86 	0.457 	0.1469 	0.0504 	0.0083 	0.0245 	 	 
0.086 	2.33 	0.484 	0.1220 	0.0561 	0.0079 	0.0270 	 
0.118 	3.08 	0.489 	0.0399 	0.0534 	0.0046 	0.0239	 	 
0.165 	4.23 	0.493 	0.1436 	0.0593 	0.0104 	0.0229 	 
0.238 	5.81 	0.503 	0.1445 	0.0773 	0.0120 	0.0235	 	 
0.336 	7.76 	0.516 	0.4389 	0.1747 	0.0270 	0.0373 	 
0.448 	10.20 	0.510 	0.4641 	0.3692 	0.0400 	0.0536	 	 

x 	hQ2i/GeV2 z 	K- 1,d 	stat. 	syst. 	MC 	 
3 41
0.033 	1.22 	0.383  -0.0471 	0.0597 	0.0039 	0.0212 	 
0.048 	1.50 	0.424  	0.0312 	0.0661 	0.0041 	0.0246 	 
0.065 	1.86 	0.457  	0.0097 	0.0701 	0.0051 	0.0262 	 
0.086 	2.33 	0.484  -0.0554 	0.0811 	0.0046 	0.0290 	 
0.118 	3.08 	0.489  	0.0292 	0.0830 	0.0029 	0.0274 	 
0.165 	4.23 	0.493  	0.0722 	0.0993 	0.0069 	0.0279 	 
0.238 	5.81 	0.503  	0.0871 	0.1411 	0.0067 	0.0313 	 
0.336 	7.76 	0.516  -0.2504 	0.3422 	0.0202 	0.0621 	 
0.448 	10.20 	0.510  	1.4585 	0.7001 	0.0859 	0.1010 	 
