 0.2215  1.7100 0.3423 0.0341 0.0307
 0.2544  2.0500 0.3874 0.0314 0.0368
 0.2888  2.4400 0.4319 0.0406 0.0472
 0.3270  2.9200 0.8260 0.0842 0.1096

A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.6750 GeV
 E- P --> E- X ELAB IN GEV 5.7000 W IN GEV 2.6750
 x = X y = A1 x y +- dstat +- dsys
1 2.675
 0.1013 0.7070  0.1903 0.0377 0.0138
 0.1186 0.8440  0.2294 0.0370 0.0144
 0.1387 1.0100  0.2606 0.0407 0.0178
 0.1606 1.2000  0.2710 0.0315 0.0214
 0.1867 1.4400  0.2727 0.0338 0.0283
 0.2142 1.7100  0.3038 0.0331 0.0314
 0.2463 2.0500  0.3116 0.0311 0.0381
 0.2800 2.4400  0.3955 0.0453 0.0542
 0.3176 2.9200  0.4784 0.1270 0.0879

A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.7250 GeV
 E- P --> E- X ELAB IN GEV 5.7000 W IN GEV 2.7250
 x = X y = A1 x y +- dstat +- dsys 
1 2.725
 0.0975 0.7070 0.1496 0.0398 0.0133
 0.1142 0.8440 0.2072 0.0357 0.0141
 0.1337 1.0100 0.1985 0.0389 0.0166
 0.1550 1.2000 0.2205 0.0295 0.0210
 0.1804 1.4400 0.3023 0.0347 0.0288
 0.2072 1.7100 0.3318 0.0323 0.0350
 0.2385 2.0500 0.3239 0.0347 0.0437
 0.2716 2.4400 0.3952 0.0547 0.0714
 0.3085 2.9200 0.3435 0.3058 0.0847

A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.7750 GeV
 E- P --> E- X ELAB IN GEV 5.7000 W IN GEV 2.7750
 x = X y = A1 x y +- dstat +- dsys
1 2.775
 0.0939  0.7070 0.0695 0.0367 0.0120
 0.1101  0.8440 0.1580 0.0371 0.0139
 0.1290  1.0100 0.1873 0.0389 0.0161
 0.1496  1.2000 0.1837 0.0277 0.0208
 0.1744  1.4400 0.2653 0.0320 0.0302
 0.2005  1.7100 0.2659 0.0311 0.0371
 0.2311  2.0500 0.2986 0.0401 0.0502
 0.2635  2.4400 0.2414 0.0707 0.0614

A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.8250 GeV
 E- P --> E- X ELAB IN GEV 5.7000 W IN GEV 2.8250
 x = X y = A1 x y +- dstat +- dsys
1 2.825
 0.0906  0.7070 0.1701 0.0368 0.0124
 0.1063  0.8440 0.2303 0.0388 0.0148
 0.1246  1.0100 0.1009 0.0373 0.0151
 0.1446  1.2000 0.1743 0.0292 0.0215
 0.1686  1.4400 0.2668 0.0345 0.0355
 0.1941  1.7100 0.2765 0.0336 0.0452
 0.2241  2.0500 0.3866 0.0593 0.0798
 0.2558  2.4400 0.3253 0.1568 0.1087

A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.8750 GeV
 E- P --> E- X ELAB IN GEV 5.7000 W IN GEV 2.8750
 x = X y = A1 x y +- dstat +- dsys
1 2.875
 0.0874 0.7070 0.1070 0.0348 0.0115
 0.1026 0.8440 0.1144 0.0379 0.0138
 0.1203 1.0100 0.1631 0.0364 0.0170
 0.1398 1.2000 0.1733 0.0294 0.0226
 0.1632 1.4400 0.2627 0.0310 0.0419
 0.1880 1.7100 0.1918 0.0401 0.0460
 0.2173 2.0500 0.1369 0.0824 0.0571
 0.2484 2.4400 -0.4705 0.5393 0.1297

A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.9250 GeV
 E- P --> E- X ELAB IN GEV 5.7000 W IN GEV 2.9250
 x = X y = A1 x y +- dstat +- dsys
1 2.925
 0.0844 0.7070 0.0816 0.0351 0.0114
 0.0991 0.8440 0.2147 0.0397 0.0171
 0.1163 1.0100 0.2292 0.0370 0.0199
 0.1352 1.2000 0.1641 0.0296 0.0236
 0.1580 1.4400 0.2615 0.0380 0.0541
 0.1822 1.7100 0.2674 0.0692 0.0860

A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.9750 GeV
 E- P --> E- X ELAB IN GEV 5.7000 W IN GEV 2.9750
 x = X y = A1 x y +- dstat +- dsys
1 2.975
 0.0815 0.7070 0.0321 0.0337 0.0106
 0.0958 0.8440 0.1621 0.0363 0.0162
 0.1125 1.0100 0.1035 0.0359 0.0170
 0.1309 1.2000 0.1143 0.0297 0.0235

A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 3.0250 GeV
 E- P --> E- X ELAB IN GEV 5.7000 W IN GEV 3.0250
 x = X y = A1 x y +- dstat +- dsys
1 3.025
 0.0788 0.7070 0.0895 0.0365 0.0127
 0.0926 0.8440 0.1214 0.0381 0.0168
 0.1088 1.0100 0.0430 0.0435 0.0166


